                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 0.5887,                 0.8671,                0.57388,                0.91544,                0.86734,                0.79294,                0.85989,                0.69708,                0.86537,                0.79091,                0.85928,                0.66612,                 0.7448,                 1.3574,                0.81174,                0.98863,              0.0008177,              0.0008177,              0.0008177
                     82,                0.58059,                0.87758,                0.56685,                 0.9121,                0.84381,                0.80726,                0.86389,                0.70237,                0.86222,                 0.7874,                0.86003,                0.66973,                0.72828,                 1.2761,                0.79636,                0.99999,             0.00081403,             0.00081403,             0.00081403
                     83,                0.58624,                0.89644,                0.56518,                0.91556,                 0.8528,                0.81836,                0.87445,                0.71234,                0.86049,                0.81709,                0.87287,                0.68219,                0.72013,                 1.2781,                0.76684,                0.99027,             0.00081036,             0.00081036,             0.00081036
                     84,                0.59098,                0.87802,                0.55897,                0.91471,                0.87093,                0.80711,                0.86837,                0.70342,                0.87226,                0.80465,                0.86274,                0.67926,                0.73515,                 1.3387,                 0.7627,                0.99966,              0.0008067,              0.0008067,              0.0008067
                     85,                0.59813,                0.89155,                 0.5725,                 0.9207,                0.87505,                 0.7925,                0.85794,                0.69597,                0.88366,                0.79214,                0.85525,                  0.669,                0.72363,                 1.3734,                0.76348,                0.97667,             0.00080303,             0.00080303,             0.00080303
                     86,                0.56964,                0.85085,                0.55152,                0.91112,                0.84616,                0.82847,                0.85961,                0.68878,                0.84045,                0.81879,                0.84833,                0.64752,                0.74919,                 1.3658,                0.78666,                 1.0062,             0.00079936,             0.00079936,             0.00079936
                     87,                0.59319,                0.86331,                0.56799,                 0.9199,                0.87517,                0.83102,                0.87037,                0.69785,                0.87563,                0.83025,                0.86514,                0.64969,                0.72956,                 1.3438,                0.73791,                0.98981,              0.0007957,              0.0007957,              0.0007957
                     88,                0.58718,                0.90334,                0.55972,                0.92011,                0.83941,                0.81235,                0.86483,                 0.7047,                0.85088,                0.81207,                0.86083,                0.67549,                0.72501,                 1.2499,                0.77699,                 0.9867,             0.00079203,             0.00079203,             0.00079203
                     89,                0.57363,                0.84298,                0.55236,                0.91033,                0.85919,                0.81394,                0.86968,                0.68826,                0.86639,                0.80939,                0.86618,                0.66653,                0.73086,                 1.3196,                 0.7998,                  1.004,             0.00078837,             0.00078837,             0.00078837
                     90,                0.58686,                0.87059,                 0.5594,                0.92073,                0.85064,                0.80353,                0.86609,                0.70686,                0.84853,                0.79896,                0.86158,                0.67399,                0.72266,                 1.2889,                0.79036,                0.98917,              0.0007847,              0.0007847,              0.0007847
